;ECC;PERIH_KM;EPOCH_JD;EPOCH_ET;LNODE_RAD;ARGP_RAD;I_RAD;GM_SUN;COMP_ET;M0_RAD;STATE_VEC;POS_VEC_KM;POS_VEC_WRT_EARTH_KM;ECLIP_LONG_DEG;ECLIP_LAT_DEG
577;0.29354783839677173;150500217.46875733;2459038.6801438616;647454033.6135479;4.792302722630378;0.2236214551944053;0.06193738708067579;132712440041.9393;646747269.1841353;0.0;"[ 2.18236889e+07 -1.49341094e+08  6.09768985e+05  3.30843703e+01
  6.06427681e+00  2.07525826e+00]";[ 2.18236889e+07 -1.49341094e+08  6.09768985e+05];[-394441.84870531 1117330.75754744  603188.7665787 ];109.44413027373872;26.978760301434182
578;0.2934730826020181;150500126.64485225;2459038.6804146282;647454057.0077893;4.79230482398564;0.22361890008863713;0.06192658094569894;132712440041.9393;646747269.1841353;0.0;"[ 2.18234748e+07 -1.49340953e+08  6.09630171e+05  3.30835057e+01
  6.06383503e+00  2.07484008e+00]";[ 2.18234748e+07 -1.49340953e+08  6.09630171e+05];[-394655.90259859 1117471.68774629  603049.95235249];109.45162063529145;26.969439130072885
579;0.2935691276070742;150500078.32555395;2459038.680189605;647454037.565765;4.792303041700909;0.22362241210086678;0.06194038698321161;132712440041.9393;646747269.1841353;0.0;"[ 2.18235075e+07 -1.49341017e+08  6.09784785e+05  3.30846378e+01
  6.06437602e+00  2.07537613e+00]";[ 2.18235075e+07 -1.49341017e+08  6.09784785e+05];[-394623.20035247 1117407.97447577  603204.56658115];109.4511555898272;26.976763455640597
580;0.2934303220462101;150500623.53145576;2459038.680572397;647454070.6390148;4.792307120478005;0.22361666278213788;0.061916530549225954;132712440041.9393;646747269.1841353;0.0;"[ 2.18236018e+07 -1.49341388e+08  6.09515231e+05  3.30829538e+01
  6.06360326e+00  2.07446772e+00]";[ 2.18236018e+07 -1.49341388e+08  6.09515231e+05];[-394528.90549472 1117036.77716821  602935.01223502];109.45283368989536;26.973866704701063
581;0.2934114395574008;150500881.63574505;2459038.680478317;647454062.510513;4.792306791910442;0.22361532531036032;0.061915803246465256;132712440041.9393;646747269.1841353;0.0;"[ 2.18238857e+07 -1.49341568e+08  6.09527773e+05  3.30826963e+01
  6.06352665e+00  2.07442692e+00]";[ 2.18238857e+07 -1.49341568e+08  6.09527773e+05];[-394245.00944346 1116856.67034706  602947.55461111];109.44278567188641;26.979517847212307
582;0.29352312986154666;150500014.1334249;2459038.6802028595;647454038.71096;4.792303769702557;0.223619081757311;0.061933046344499317;132712440041.9393;646747269.1841353;0.0;"[ 2.18234650e+07 -1.49340893e+08  6.09703521e+05  3.30841111e+01
  6.06410355e+00  2.07509579e+00]";[ 2.18234650e+07 -1.49340893e+08  6.09703521e+05];[-394665.7277875  1117532.26267385  603123.30235046];109.45109331593756;26.971075762615545
583;0.29354417412191536;150499903.2118748;2459038.680102896;647454030.0741192;4.79230215900526;0.2236217524075023;0.06194032116218404;132712440041.9393;646747269.1841353;0.0;"[ 2.18236776e+07 -1.49340770e+08  6.09804117e+05  3.30843542e+01
  6.06426721e+00  2.07535566e+00]";[ 2.18236776e+07 -1.49340770e+08  6.09804117e+05];[-394453.12145133 1117654.76859674  603223.89823807];109.43943001810712;26.974064126382274
584;0.2935219590448664;150500105.15668008;2459038.6802225104;647454040.4087979;4.792305005640263;0.22361888936947424;0.061932640354385046;132712440041.9393;646747269.1841353;0.0;"[ 2.18236096e+07 -1.49340964e+08  6.09696562e+05  3.30840821e+01
  6.06412563e+00  2.07508073e+00]";[ 2.18236096e+07 -1.49340964e+08  6.09696562e+05];[-394521.08607043 1117461.55231869  603116.3432411 ];109.44563769225759;26.97305270036659
585;0.29341540409699807;150500565.42742833;2459038.6803574027;647454052.0634991;4.79230515927611;0.2236153858412059;0.06191942557747793;132712440041.9393;646747269.1841353;0.0;"[ 2.18238401e+07 -1.49341250e+08  6.09577522e+05  3.30827749e+01
  6.06354326e+00  2.07455320e+00]";[ 2.18238401e+07 -1.49341250e+08  6.09577522e+05];[-394290.65990642 1117174.87555844  602997.30415043];109.43974500570934;26.97526431947041
586;0.29353939521091793;150499979.5183703;2459038.6801692345;647454035.8057705;4.792303031265012;0.22361977283832862;0.06193476676251137;132712440041.9393;646747269.1841353;0.0;"[ 2.18233973e+07 -1.49340888e+08  6.09723233e+05  3.30843096e+01
  6.06418124e+00  2.07516608e+00]";[ 2.18233973e+07 -1.49340888e+08  6.09723233e+05];[-394733.46597791 1117536.82784072  603143.01458001];109.454107571225;26.971307759386406
